model,hardware,prompt_size,batch_size,token_size,peak_power,average_power,prompt_time,token_time,e2e_time,tensor_parallel
Llama-3.1-8B,a100-80gb,128,1,128,0,0,0.02635645866394043,1.0914227962493896,1.120187759399414,2
Llama-3.1-8B,a100-80gb,128,1,128,0,0,0.024628400802612305,1.08858060836792,1.1153385639190674,2
Llama-3.1-8B,a100-80gb,128,1,128,0,0,0.024098873138427734,1.087883710861206,1.114281415939331,2
Llama-3.1-8B,a100-80gb,128,1,128,0,0,0.022690773010253906,1.0890893936157227,1.1138696670532227,2
Llama-3.1-8B,a100-80gb,128,1,128,0,0,0.02268195152282715,1.0876309871673584,1.1120586395263672,2
Llama-3.1-8B,a100-80gb,256,1,128,0,0,0.02538299560546875,1.0881824493408203,1.11598801612854,2
Llama-3.1-8B,a100-80gb,256,1,128,0,0,0.02269148826599121,1.0860505104064941,1.1107070446014404,2
Llama-3.1-8B,a100-80gb,256,1,128,0,0,0.023070096969604492,1.0873217582702637,1.1124236583709717,2
Llama-3.1-8B,a100-80gb,256,1,128,0,0,0.0226137638092041,1.0794892311096191,1.1040053367614746,2
Llama-3.1-8B,a100-80gb,256,1,128,0,0,0.022408723831176758,1.0845203399658203,1.1086838245391846,2
Llama-3.1-8B,a100-80gb,512,1,128,0,0,0.028680086135864258,1.0842421054840088,1.115687608718872,2
Llama-3.1-8B,a100-80gb,512,1,128,0,0,0.028331518173217773,1.0835156440734863,1.1145148277282715,2
Llama-3.1-8B,a100-80gb,512,1,128,0,0,0.027855396270751953,1.0871357917785645,1.1170988082885742,2
Llama-3.1-8B,a100-80gb,512,1,128,0,0,0.02812933921813965,1.081974983215332,1.112398624420166,2
Llama-3.1-8B,a100-80gb,512,1,128,0,0,0.028344392776489258,1.0832247734069824,1.1136541366577148,2
Llama-3.1-8B,a100-80gb,1024,1,128,0,0,0.0540616512298584,1.0870380401611328,1.1438698768615723,2
Llama-3.1-8B,a100-80gb,1024,1,128,0,0,0.05437493324279785,1.0906574726104736,1.148259162902832,2
Llama-3.1-8B,a100-80gb,1024,1,128,0,0,0.05468273162841797,1.087721347808838,1.1455349922180176,2
Llama-3.1-8B,a100-80gb,1024,1,128,0,0,0.054584503173828125,1.086320161819458,1.1440260410308838,2
Llama-3.1-8B,a100-80gb,1024,1,128,0,0,0.05439400672912598,1.086991310119629,1.144320011138916,2
Llama-3.1-8B,a100-80gb,2048,1,128,0,0,0.13053107261657715,1.0986244678497314,1.2332844734191895,2
Llama-3.1-8B,a100-80gb,2048,1,128,0,0,0.1304333209991455,1.1030158996582031,1.2379858493804932,2
Llama-3.1-8B,a100-80gb,2048,1,128,0,0,0.12931203842163086,1.0969223976135254,1.2308249473571777,2
Llama-3.1-8B,a100-80gb,2048,1,128,0,0,0.13349604606628418,1.098968744277954,1.2371387481689453,2
Llama-3.1-8B,a100-80gb,2048,1,128,0,0,0.13053536415100098,1.1007986068725586,1.2357194423675537,2
Llama-3.1-8B,a100-80gb,4096,1,128,0,0,0.23503971099853516,1.1196045875549316,1.360985517501831,2
Llama-3.1-8B,a100-80gb,4096,1,128,0,0,0.23324370384216309,1.1247873306274414,1.3645174503326416,2
Llama-3.1-8B,a100-80gb,4096,1,128,0,0,0.23320960998535156,1.122387170791626,1.3628184795379639,2
Llama-3.1-8B,a100-80gb,4096,1,128,0,0,0.23439359664916992,1.1237781047821045,1.3650174140930176,2
Llama-3.1-8B,a100-80gb,4096,1,128,0,0,0.23424005508422852,1.127495288848877,1.368769884109497,2
Llama-3.1-8B,a100-80gb,8192,1,128,0,0,0.5421719551086426,2.3985273838043213,2.95276141166687,2
Llama-3.1-8B,a100-80gb,8192,1,128,0,0,0.539365291595459,2.3797483444213867,2.93109130859375,2
Llama-3.1-8B,a100-80gb,8192,1,128,0,0,0.5460946559906006,2.433375120162964,2.990183115005493,2
Llama-3.1-8B,a100-80gb,8192,1,128,0,0,0.5397636890411377,2.410318374633789,2.9610824584960938,2
Llama-3.1-8B,a100-80gb,8192,1,128,0,0,0.5442297458648682,2.405564785003662,2.961047649383545,2
Llama-3.1-8B,a100-80gb,512,1,128,0,0,0.028009653091430664,1.0821542739868164,1.1127426624298096,2
Llama-3.1-8B,a100-80gb,512,1,128,0,0,0.0279386043548584,1.0831830501556396,1.1134374141693115,2
Llama-3.1-8B,a100-80gb,512,1,128,0,0,0.027993202209472656,1.0846502780914307,1.1151094436645508,2
Llama-3.1-8B,a100-80gb,512,1,128,0,0,0.0280914306640625,1.0866475105285645,1.1173021793365479,2
Llama-3.1-8B,a100-80gb,512,1,128,0,0,0.028552532196044922,1.083745002746582,1.114311933517456,2
Llama-3.1-8B,a100-80gb,512,2,128,0,0,0.05048871040344238,1.1155407428741455,1.1693899631500244,2
Llama-3.1-8B,a100-80gb,512,2,128,0,0,0.04775810241699219,1.1212713718414307,1.171903371810913,2
Llama-3.1-8B,a100-80gb,512,2,128,0,0,0.050084829330444336,1.1225636005401611,1.1760435104370117,2
Llama-3.1-8B,a100-80gb,512,2,128,0,0,0.04762721061706543,1.1208949089050293,1.1718518733978271,2
Llama-3.1-8B,a100-80gb,512,2,128,0,0,0.047277212142944336,1.117846965789795,1.1682181358337402,2
Llama-3.1-8B,a100-80gb,512,4,128,0,0,0.048419952392578125,1.1928040981292725,1.2459614276885986,2
Llama-3.1-8B,a100-80gb,512,4,128,0,0,0.04743623733520508,1.1970155239105225,1.2491514682769775,2
Llama-3.1-8B,a100-80gb,512,4,128,0,0,0.048048973083496094,1.1888089179992676,1.2413761615753174,2
Llama-3.1-8B,a100-80gb,512,4,128,0,0,0.048867225646972656,1.1890392303466797,1.2428195476531982,2
Llama-3.1-8B,a100-80gb,512,4,128,0,0,0.04789900779724121,1.191828966140747,1.244182825088501,2
Llama-3.1-8B,a100-80gb,512,8,128,0,0,0.04738020896911621,1.303124189376831,1.3576743602752686,2
Llama-3.1-8B,a100-80gb,512,8,128,0,0,0.0474848747253418,1.3066966533660889,1.361238956451416,2
Llama-3.1-8B,a100-80gb,512,8,128,0,0,0.04809713363647461,1.3061003684997559,1.3617098331451416,2
Llama-3.1-8B,a100-80gb,512,8,128,0,0,0.04747581481933594,1.3073909282684326,1.362403154373169,2
Llama-3.1-8B,a100-80gb,512,8,128,0,0,0.047565460205078125,1.3120675086975098,1.3674554824829102,2
Llama-3.1-8B,a100-80gb,512,16,128,0,0,0.048064470291137695,1.5684525966644287,1.6298701763153076,2
Llama-3.1-8B,a100-80gb,512,16,128,0,0,0.049131155014038086,1.5654256343841553,1.6300103664398193,2
Llama-3.1-8B,a100-80gb,512,16,128,0,0,0.048711299896240234,1.5674619674682617,1.6297369003295898,2
Llama-3.1-8B,a100-80gb,512,16,128,0,0,0.048438310623168945,1.567918062210083,1.62973952293396,2
Llama-3.1-8B,a100-80gb,512,16,128,0,0,0.04818367958068848,1.5569789409637451,1.6182482242584229,2
Llama-3.1-8B,a100-80gb,512,32,128,0,0,0.05102992057800293,2.048661708831787,2.128150224685669,2
Llama-3.1-8B,a100-80gb,512,32,128,0,0,0.04785966873168945,2.053661823272705,2.128770589828491,2
Llama-3.1-8B,a100-80gb,512,32,128,0,0,0.04816293716430664,2.05690860748291,2.130964994430542,2
Llama-3.1-8B,a100-80gb,512,32,128,0,0,0.050954341888427734,2.0646088123321533,2.1438398361206055,2
Llama-3.1-8B,a100-80gb,512,32,128,0,0,0.048064470291137695,2.0550332069396973,2.1295249462127686,2
Llama-3.1-8B,a100-80gb,512,1,128,0,0,0.02801036834716797,1.0837376117706299,1.114962100982666,2
Llama-3.1-8B,a100-80gb,512,1,128,0,0,0.028568506240844727,1.0859711170196533,1.1169087886810303,2
Llama-3.1-8B,a100-80gb,512,1,128,0,0,0.02811455726623535,1.0803649425506592,1.1106324195861816,2
Llama-3.1-8B,a100-80gb,512,1,128,0,0,0.028038978576660156,1.0890870094299316,1.119452714920044,2
Llama-3.1-8B,a100-80gb,512,1,128,0,0,0.028249740600585938,1.085784912109375,1.1165554523468018,2
Llama-3.1-8B,a100-80gb,512,1,256,0,0,0.027941465377807617,2.175598382949829,2.205904483795166,2
Llama-3.1-8B,a100-80gb,512,1,256,0,0,0.0286102294921875,2.1762044429779053,2.207550048828125,2
Llama-3.1-8B,a100-80gb,512,1,256,0,0,0.028123855590820312,2.1751515865325928,2.205376148223877,2
Llama-3.1-8B,a100-80gb,512,1,256,0,0,0.02855229377746582,2.1775622367858887,2.2082748413085938,2
Llama-3.1-8B,a100-80gb,512,1,256,0,0,0.028504371643066406,2.181286334991455,2.212102174758911,2
Llama-3.1-8B,a100-80gb,512,1,512,0,0,0.028631925582885742,4.364297866821289,4.395113229751587,2
Llama-3.1-8B,a100-80gb,512,1,512,0,0,0.02857661247253418,4.3686206340789795,4.399790287017822,2
Llama-3.1-8B,a100-80gb,512,1,512,0,0,0.028675317764282227,4.365903377532959,4.3967461585998535,2
Llama-3.1-8B,a100-80gb,512,1,512,0,0,0.0289914608001709,4.361523866653442,4.393205642700195,2
Llama-3.1-8B,a100-80gb,512,1,512,0,0,0.029082775115966797,4.36434531211853,4.3960490226745605,2
Llama-3.1-8B,a100-80gb,512,1,1024,0,0,0.0287630558013916,8.73533010482788,8.766525745391846,2
Llama-3.1-8B,a100-80gb,512,1,1024,0,0,0.02886366844177246,8.729533195495605,8.761174201965332,2
Llama-3.1-8B,a100-80gb,512,1,1024,0,0,0.029284954071044922,8.73857855796814,8.770495414733887,2
Llama-3.1-8B,a100-80gb,512,1,1024,0,0,0.028995037078857422,8.747942447662354,8.779665470123291,2
Llama-3.1-8B,a100-80gb,512,1,1024,0,0,0.029149293899536133,8.7414870262146,8.773202896118164,2
Llama-3.1-8B,a100-80gb,512,1,2048,0,0,0.02901744842529297,17.588494539260864,17.620344638824463,2
Llama-3.1-8B,a100-80gb,512,1,2048,0,0,0.02928614616394043,17.59325647354126,17.625433683395386,2
Llama-3.1-8B,a100-80gb,512,1,2048,0,0,0.029503822326660156,17.59570860862732,17.628130674362183,2
Llama-3.1-8B,a100-80gb,512,1,2048,0,0,0.029373884201049805,17.602982997894287,17.635313510894775,2
Llama-3.1-8B,a100-80gb,512,1,2048,0,0,0.029881954193115234,17.603911638259888,17.63663625717163,2
Llama-3.1-8B,a100-80gb,512,1,4096,0,0,0.029531478881835938,35.49932646751404,35.53151535987854,2
Llama-3.1-8B,a100-80gb,512,1,4096,0,0,0.029550790786743164,35.52221155166626,35.554709672927856,2
Llama-3.1-8B,a100-80gb,512,1,4096,0,0,0.029442310333251953,35.50089740753174,35.53333640098572,2
Llama-3.1-8B,a100-80gb,512,1,4096,0,0,0.02918386459350586,35.47592735290527,35.507816553115845,2
Llama-3.1-8B,a100-80gb,512,1,4096,0,0,0.029722213745117188,35.439119815826416,35.47160601615906,2
Llama-3.1-8B,a100-80gb,512,1,8192,0,0,0.029515743255615234,77.01476001739502,77.04720735549927,2
Llama-3.1-8B,a100-80gb,512,1,8192,0,0,0.028782367706298828,77.1072371006012,77.13931775093079,2
Llama-3.1-8B,a100-80gb,512,1,8192,0,0,0.02821826934814453,76.97008180618286,77.00184750556946,2
Llama-3.1-8B,a100-80gb,512,1,8192,0,0,0.028325796127319336,76.97198390960693,77.0036153793335,2
Llama-3.1-8B,a100-80gb,512,1,8192,0,0,0.028354406356811523,77.24651384353638,77.27769255638123,2
