model,hardware,prompt_size,batch_size,token_size,peak_power,average_power,prompt_time,token_time,e2e_time,tensor_parallel
Llama-3.2-3B,a100-80gb,128,1,128,0,0,0.03235626220703125,0.7205760478973389,0.7555913925170898,4
Llama-3.2-3B,a100-80gb,128,1,128,0,0,0.027131319046020508,0.7177515029907227,0.7469303607940674,4
Llama-3.2-3B,a100-80gb,128,1,128,0,0,0.027357816696166992,0.7178037166595459,0.7471778392791748,4
Llama-3.2-3B,a100-80gb,128,1,128,0,0,0.027395248413085938,0.7102115154266357,0.7399556636810303,4
Llama-3.2-3B,a100-80gb,128,1,128,0,0,0.024379968643188477,0.7095425128936768,0.7361371517181396,4
Llama-3.2-3B,a100-80gb,256,1,128,0,0,0.02777719497680664,0.7122147083282471,0.7422029972076416,4
Llama-3.2-3B,a100-80gb,256,1,128,0,0,0.02825021743774414,0.7139163017272949,0.7443265914916992,4
Llama-3.2-3B,a100-80gb,256,1,128,0,0,0.02510976791381836,0.7115750312805176,0.7390174865722656,4
Llama-3.2-3B,a100-80gb,256,1,128,0,0,0.02560281753540039,0.7072422504425049,0.7351408004760742,4
Llama-3.2-3B,a100-80gb,256,1,128,0,0,0.028722524642944336,0.7076220512390137,0.7385773658752441,4
Llama-3.2-3B,a100-80gb,512,1,128,0,0,0.027110815048217773,0.7082979679107666,0.7382261753082275,4
Llama-3.2-3B,a100-80gb,512,1,128,0,0,0.028262853622436523,0.7056920528411865,0.7365632057189941,4
Llama-3.2-3B,a100-80gb,512,1,128,0,0,0.028111934661865234,0.7055625915527344,0.736299991607666,4
Llama-3.2-3B,a100-80gb,512,1,128,0,0,0.028150081634521484,0.7117958068847656,0.7428689002990723,4
Llama-3.2-3B,a100-80gb,512,1,128,0,0,0.0306241512298584,0.7085895538330078,0.7418956756591797,4
Llama-3.2-3B,a100-80gb,1024,1,128,0,0,0.05072522163391113,0.7073814868927002,0.7607316970825195,4
Llama-3.2-3B,a100-80gb,1024,1,128,0,0,0.05246329307556152,0.6987943649291992,0.7544946670532227,4
Llama-3.2-3B,a100-80gb,1024,1,128,0,0,0.052713871002197266,0.7092940807342529,0.7653837203979492,4
Llama-3.2-3B,a100-80gb,1024,1,128,0,0,0.05249929428100586,0.7091794013977051,0.7651691436767578,4
Llama-3.2-3B,a100-80gb,1024,1,128,0,0,0.05117058753967285,0.7034072875976562,0.7578585147857666,4
Llama-3.2-3B,a100-80gb,2048,1,128,0,0,0.11908078193664551,0.7032167911529541,0.8266832828521729,4
Llama-3.2-3B,a100-80gb,2048,1,128,0,0,0.12239956855773926,0.710275411605835,0.8371315002441406,4
Llama-3.2-3B,a100-80gb,2048,1,128,0,0,0.11961174011230469,0.7091410160064697,0.8329963684082031,4
Llama-3.2-3B,a100-80gb,2048,1,128,0,0,0.1199808120727539,0.7043077945709229,0.8290586471557617,4
Llama-3.2-3B,a100-80gb,2048,1,128,0,0,0.11666107177734375,0.7028040885925293,0.8246853351593018,4
Llama-3.2-3B,a100-80gb,4096,1,128,0,0,0.19823908805847168,0.7014768123626709,0.907029390335083,4
Llama-3.2-3B,a100-80gb,4096,1,128,0,0,0.19456219673156738,0.7082138061523438,0.9102869033813477,4
Llama-3.2-3B,a100-80gb,4096,1,128,0,0,0.19693255424499512,0.7055206298828125,0.9094016551971436,4
Llama-3.2-3B,a100-80gb,4096,1,128,0,0,0.19623279571533203,0.7052366733551025,0.9081377983093262,4
Llama-3.2-3B,a100-80gb,4096,1,128,0,0,0.19568228721618652,0.7024581432342529,0.9050791263580322,4
Llama-3.2-3B,a100-80gb,8192,1,128,0,0,0.4486122131347656,2.5794262886047363,3.040574073791504,4
Llama-3.2-3B,a100-80gb,8192,1,128,0,0,0.4506571292877197,2.5838429927825928,3.0468430519104004,4
Llama-3.2-3B,a100-80gb,8192,1,128,0,0,0.4480743408203125,2.5426886081695557,3.00252366065979,4
Llama-3.2-3B,a100-80gb,8192,1,128,0,0,0.44890904426574707,2.570136070251465,3.031954288482666,4
Llama-3.2-3B,a100-80gb,8192,1,128,0,0,0.44664621353149414,2.545522928237915,3.0051045417785645,4
