,times,iters
0,0.10740017890930176,0
1,3.886222839355469e-05,1
2,2.3126602172851562e-05,2
3,0.00015234947204589844,3
4,0.0003135204315185547,4
5,2.0503997802734375e-05,5
6,2.0742416381835938e-05,6
7,0.00013327598571777344,7
8,2.0503997802734375e-05,8
9,1.6927719116210938e-05,9
10,9.226799011230469e-05,10
11,8.726119995117188e-05,11
12,1.7404556274414062e-05,12
13,9.083747863769531e-05,13
14,1.7642974853515625e-05,14
15,0.0029363632202148438,15
16,0.006521463394165039,16
17,0.0065686702728271484,17
18,0.006718873977661133,18
19,0.006484031677246094,19
20,0.0069735050201416016,20
21,0.006441831588745117,21
22,0.006352424621582031,22
23,0.006623029708862305,23
24,0.006529569625854492,24
25,0.006455659866333008,25
26,0.006478309631347656,26
27,0.006533145904541016,27
28,0.0064771175384521484,28
29,0.006640195846557617,29
30,0.006687641143798828,30
31,0.006573200225830078,31
32,0.006610870361328125,32
33,0.006487369537353516,33
34,0.006476163864135742,34
35,0.0065915584564208984,35
36,0.006939411163330078,36
37,0.006735324859619141,37
38,0.005879640579223633,38
39,0.00641942024230957,39
40,0.006512641906738281,40
41,0.0066072940826416016,41
42,0.006829738616943359,42
43,0.006576061248779297,43
44,0.006461381912231445,44
45,0.0064737796783447266,45
46,0.006601572036743164,46
47,0.006543636322021484,47
48,0.006622314453125,48
49,0.006583452224731445,49
50,0.00658416748046875,50
51,0.006470918655395508,51
52,0.0066492557525634766,52
53,0.006469249725341797,53
54,0.0065691471099853516,54
55,0.0064983367919921875,55
56,0.0067958831787109375,56
57,0.006331205368041992,57
58,0.006560087203979492,58
59,0.006565570831298828,59
60,0.006725311279296875,60
61,0.0065076351165771484,61
62,0.006574392318725586,62
63,0.006767988204956055,63
64,0.006395101547241211,64
65,0.006447315216064453,65
66,0.006581544876098633,66
67,0.006506443023681641,67
68,0.0065228939056396484,68
69,0.006575345993041992,69
70,0.0064280033111572266,70
71,0.006488323211669922,71
72,0.006865978240966797,72
73,0.0062847137451171875,73
74,0.006640195846557617,74
75,0.006867647171020508,75
76,0.006432771682739258,76
