model,hardware,prompt_size,batch_size,token_size,peak_power,average_power,prompt_time,token_time,e2e_time,tensor_parallel
Llama-3.2-3B,a100-80gb,128,1,128,0,0,0.024418115615844727,0.6934380531311035,0.7204117774963379,2
Llama-3.2-3B,a100-80gb,128,1,128,0,0,0.020425796508789062,0.693831205368042,0.7163817882537842,2
Llama-3.2-3B,a100-80gb,128,1,128,0,0,0.02098560333251953,0.6919586658477783,0.7147922515869141,2
Llama-3.2-3B,a100-80gb,128,1,128,0,0,0.02009892463684082,0.6960732936859131,0.7181189060211182,2
Llama-3.2-3B,a100-80gb,128,1,128,0,0,0.020795822143554688,0.691251277923584,0.7140967845916748,2
Llama-3.2-3B,a100-80gb,256,1,128,0,0,0.020534515380859375,0.6908767223358154,0.7134859561920166,2
Llama-3.2-3B,a100-80gb,256,1,128,0,0,0.021027803421020508,0.6899886131286621,0.7127289772033691,2
Llama-3.2-3B,a100-80gb,256,1,128,0,0,0.021915197372436523,0.6895573139190674,0.7134678363800049,2
Llama-3.2-3B,a100-80gb,256,1,128,0,0,0.01968836784362793,0.683337926864624,0.7051191329956055,2
Llama-3.2-3B,a100-80gb,256,1,128,0,0,0.02039051055908203,0.6878147125244141,0.7101290225982666,2
Llama-3.2-3B,a100-80gb,512,1,128,0,0,0.02082061767578125,0.6846387386322021,0.7081079483032227,2
Llama-3.2-3B,a100-80gb,512,1,128,0,0,0.020074129104614258,0.68316650390625,0.7052261829376221,2
Llama-3.2-3B,a100-80gb,512,1,128,0,0,0.019205093383789062,0.6874549388885498,0.7089691162109375,2
Llama-3.2-3B,a100-80gb,512,1,128,0,0,0.0194551944732666,0.6837377548217773,0.7056443691253662,2
Llama-3.2-3B,a100-80gb,512,1,128,0,0,0.020321369171142578,0.6845560073852539,0.7069337368011475,2
Llama-3.2-3B,a100-80gb,1024,1,128,0,0,0.036913156509399414,0.6868891716003418,0.7264401912689209,2
Llama-3.2-3B,a100-80gb,1024,1,128,0,0,0.03634166717529297,0.6868751049041748,0.7259347438812256,2
Llama-3.2-3B,a100-80gb,1024,1,128,0,0,0.03616929054260254,0.6873712539672852,0.7272498607635498,2
Llama-3.2-3B,a100-80gb,1024,1,128,0,0,0.03840899467468262,0.6838476657867432,0.7251107692718506,2
Llama-3.2-3B,a100-80gb,1024,1,128,0,0,0.03736400604248047,0.6855902671813965,0.7260322570800781,2
Llama-3.2-3B,a100-80gb,2048,1,128,0,0,0.09411144256591797,0.7025361061096191,0.8012371063232422,2
Llama-3.2-3B,a100-80gb,2048,1,128,0,0,0.08951807022094727,0.7002289295196533,0.7940099239349365,2
Llama-3.2-3B,a100-80gb,2048,1,128,0,0,0.08825182914733887,0.6988890171051025,0.7914514541625977,2
Llama-3.2-3B,a100-80gb,2048,1,128,0,0,0.09219789505004883,0.7017114162445068,0.7981641292572021,2
Llama-3.2-3B,a100-80gb,2048,1,128,0,0,0.08701157569885254,0.6976351737976074,0.7890636920928955,2
Llama-3.2-3B,a100-80gb,4096,1,128,0,0,0.14677906036376953,0.7185649871826172,0.8725688457489014,2
Llama-3.2-3B,a100-80gb,4096,1,128,0,0,0.1441957950592041,0.7222342491149902,0.8729264736175537,2
Llama-3.2-3B,a100-80gb,4096,1,128,0,0,0.14474844932556152,0.7256081104278564,0.8769423961639404,2
Llama-3.2-3B,a100-80gb,4096,1,128,0,0,0.13924455642700195,0.7261896133422852,0.8719124794006348,2
Llama-3.2-3B,a100-80gb,4096,1,128,0,0,0.1393749713897705,0.7194676399230957,0.8661549091339111,2
Llama-3.2-3B,a100-80gb,8192,1,128,0,0,0.31442761421203613,2.1574881076812744,2.483708381652832,2
Llama-3.2-3B,a100-80gb,8192,1,128,0,0,0.30904531478881836,2.163515567779541,2.483391523361206,2
Llama-3.2-3B,a100-80gb,8192,1,128,0,0,0.3123738765716553,2.166516065597534,2.4898722171783447,2
Llama-3.2-3B,a100-80gb,8192,1,128,0,0,0.327714204788208,2.1706273555755615,2.5104966163635254,2
Llama-3.2-3B,a100-80gb,8192,1,128,0,0,0.31609678268432617,2.1560897827148438,2.4830081462860107,2
Llama-3.2-3B,a100-80gb,512,1,128,0,0,0.019794225692749023,0.6864683628082275,0.7091295719146729,2
Llama-3.2-3B,a100-80gb,512,1,128,0,0,0.019953250885009766,0.6895334720611572,0.7119414806365967,2
Llama-3.2-3B,a100-80gb,512,1,128,0,0,0.01996302604675293,0.6860144138336182,0.7081489562988281,2
Llama-3.2-3B,a100-80gb,512,1,128,0,0,0.019817113876342773,0.6844866275787354,0.7065951824188232,2
Llama-3.2-3B,a100-80gb,512,1,128,0,0,0.019696950912475586,0.6909520626068115,0.7130882740020752,2
Llama-3.2-3B,a100-80gb,512,2,128,0,0,0.03810572624206543,0.7156271934509277,0.7571811676025391,2
Llama-3.2-3B,a100-80gb,512,2,128,0,0,0.03837871551513672,0.7194309234619141,0.7610840797424316,2
Llama-3.2-3B,a100-80gb,512,2,128,0,0,0.04244709014892578,0.7241013050079346,0.7701284885406494,2
Llama-3.2-3B,a100-80gb,512,2,128,0,0,0.040465354919433594,0.7163741588592529,0.7604219913482666,2
Llama-3.2-3B,a100-80gb,512,2,128,0,0,0.0407869815826416,0.7255573272705078,0.7699294090270996,2
